inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,vote2016
Alabama,1955,Female,Heterosexual / straight,No,4-year,Yes,White,Permanently disabled,Broadband,Broadband,Married,Not sure,Conservative,No,Somewhat important,A few times a year,A few times a week,Protestant,0,Most of the time,"$40,000 - $49,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Florida,1960,Female,Heterosexual / straight,No,Some college,Yes,White,Part-time,Broadband,None,Never married,Republican,Very conservative,No,Very important,Once a week,A few times a week,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Alabama,1962,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Somewhat important,Seldom,Once a day,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Georgia,1942,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Some of the time,Prefer not to say,Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Maine,1965,Male,Heterosexual / straight,No,2-year,No,White,Retired,Broadband,None,Married,Independent,Very conservative,No,Somewhat important,Seldom,Once a day,Roman Catholic,2,Most of the time,"$70,000 - $79,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Ohio,1976,Female,Lesbian / gay woman,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not too important,Never,A few times a week,Something else,0,Most of the time,"$100,000 - $119,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Rhode Island,1971,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Somewhat important,A few times a year,Once a day,Roman Catholic,0,Hardly at all,"$100,000 - $119,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,Donald Trump
California,1961,Male,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Somewhat important,Seldom,Seldom,Roman Catholic,0,Some of the time,"$120,000 - $149,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Michigan,1982,Female,Heterosexual / straight,No,High school graduate,Yes,Black,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Not at all important,Never,A few times a week,Agnostic,0,Some of the time,Prefer not to say,Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Illinois,1969,Female,Heterosexual / straight,No,Post-grad,Yes,Black,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
Mississippi,1968,Female,Heterosexual / straight,No,4-year,Yes,Black,Retired,Broadband,Broadband,Married,Democrat,Liberal,Yes,Very important,Once a week,Several times a day,Something else,1,Some of the time,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Florida,1967,Female,Prefer not to say,No,Post-grad,Yes,Black,Permanently disabled,Broadband,Broadband,Married,Democrat,Liberal,Yes,Very important,Once a week,A few times a week,Protestant,0,Some of the time,"$10,000 - $19,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Virginia,1956,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Independent,Very conservative,No,Very important,Once a week,Several times a day,Roman Catholic,0,Most of the time,"$40,000 - $49,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
California,1958,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Not at all important,Never,A few times a week,Nothing in particular,0,Most of the time,"$20,000 - $29,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Illinois,1975,Female,Lesbian / gay woman,No,2-year,Yes,White,Full-time,Broadband,Broadband,Domestic / civil partnership,Democrat,Very liberal,No,Not at all important,Never,Never,Nothing in particular,0,Hardly at all,"$60,000 - $69,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Hillary Clinton
Illinois,1944,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,Broadband,Married,Independent,Conservative,No,Very important,More than once a week,Several times a day,Roman Catholic,0,Most of the time,"$150,000 - $199,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Ohio,1963,Male,Heterosexual / straight,No,Some college,Yes,Native American,Other,Broadband,Broadband,Married,Other,Not sure,No,Somewhat important,Don't know,A few times a month,Something else,0,Don't know,Prefer not to say,Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,I don't recall
Virginia,1949,Female,Heterosexual / straight,No,4-year,Yes,White,Part-time,Broadband,Broadband,Married,Republican,Moderate,No,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$40,000 - $49,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Someone else
Florida,1952,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Independent,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$40,000 - $49,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Donald Trump
California,1939,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Independent,Conservative,No,Very important,A few times a year,Once a day,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Own,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Michigan,1937,Male,Bisexual,No,Some college,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,No,Very important,More than once a week,Several times a day,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
New York,1981,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,A few times a month,Agnostic,0,Hardly at all,"$50,000 - $59,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Nevada,1952,Female,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,None,Divorced,Republican,Moderate,No,Very important,A few times a year,Several times a day,Protestant,0,Most of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Washington,1959,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Once or twice a month,Never,Something else,0,Most of the time,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Alaska,1965,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,Broadband,Married,Independent,Conservative,Yes,Very important,Seldom,A few times a month,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Montana,1959,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,Broadband,Married,Independent,Very conservative,Yes,Very important,Seldom,Several times a day,Something else,0,Most of the time,Prefer not to say,Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
South Carolina,1959,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,None,Divorced,Republican,Very conservative,No,Not too important,Never,Seldom,Nothing in particular,0,Most of the time,"$100,000 - $119,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Indiana,1970,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,None,None,Divorced,Republican,Very conservative,Yes,Somewhat important,A few times a year,Several times a day,Nothing in particular,3,Only now and then,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Donald Trump
Tennessee,1948,Male,Heterosexual / straight,No,4-year,Yes,White,Part-time,Broadband,None,Married,Republican,Moderate,Yes,Very important,Once or twice a month,Once a day,Protestant,0,Most of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Texas,1965,Female,Heterosexual / straight,No,Some college,Yes,Hispanic,Permanently disabled,Broadband,Broadband,Widowed,Democrat,Moderate,Yes,Somewhat important,A few times a year,Several times a day,Roman Catholic,0,Some of the time,"$30,000 - $39,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
